S&P/ASX 200 Index (1 August 2018),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
ABP,Abacus Property Group Units/ Stapled Securities,Real Estate,"2,166,820,000",0.12,,"1,819,447,871,000",
ABC,Adelaide Brighton,Materials,"4,476,200,000",0.25,,,
APT,Afterpay Touch,Information Technology,"3,088,070,000",0.17,,Sector Breakdown,
AGL,AGL Energy Limited,Utilities,"14,421,600,000",0.79,,Consumer Discretionary,5.47
ALQ,Als Limited,Industrials,"3,653,820,000",0.2,,Consumer Staples,7.52
ALU,Altium Limited,Information Technology,"2,657,810,000",0.15,,Energy,5.86
AWC,Alumina Limited,Materials,"8,149,960,000",0.45,,Financials,31.29
AMC,Amcor Limited,Materials,"17,453,200,000",0.96,,Health Care,9.19
AMP,AMP Limited,Financials,"9,922,800,000",0.55,,Industrials,7.62
ANN,Ansell Limited,Health Care,"4,100,910,000",0.23,,Information Technology,3.07
ANZ,ANZ Banking Group Limited,Financials,"84,531,900,000",4.65,,Materials,18
APA,APA Group Units FP Stapled Securities,Utilities,"11,386,000,000",0.63,,Real Estate,7.22
APO,Apn Outdoor Group,Consumer Discretionary,"1,052,140,000",0.06,,Telecommunication Services,2.77
APX,Appen Limited,Information Technology,"1,156,040,000",0.06,,Utilities,1.99
ARB,ARB Corporation,Consumer Discretionary,"1,668,600,000",0.09,,,
AAD,Ardent Leisure Group Ordinary/Units FP Stapled Securities,Consumer Discretionary,"897,911,000",0.05,,,
ALL,Aristocrat Leisure,Consumer Discretionary,"20,561,100,000",1.13,,,
ASX,ASX Limited,Financials,"12,717,300,000",0.7,,,
ALX,Atlas Arteria Ordinary Stapled Securities,Industrials,"4,468,550,000",0.25,,,
AZJ,Aurizon Holdings Limited,Industrials,"9,055,080,000",0.5,,,
ASL,Ausdrill Limited,Materials,"661,010,000",0.04,,,
AST,Ausnet Services Limited,Utilities,"5,891,390,000",0.32,,,
API,Australian Pharm,Health Care,"832,204,000",0.05,,,
AHG,Automotive Holdings,Consumer Discretionary,"905,331,000",0.05,,,
AOG,Aveo Group Ordinary/Units FP Stapled Securities,Real Estate,"1,376,590,000",0.08,,,
BOQ,Bank of Queensland,Financials,"4,414,130,000",0.24,,,
BAP,Bapcor Limited,Consumer Discretionary,"1,956,110,000",0.11,,,
BPT,Beach Energy Limited,Energy,"4,349,130,000",0.24,,,
BGA,Bega Cheese Limited,Consumer Staples,"1,352,750,000",0.07,,,
BAL,Bellamy's Australia,Consumer Staples,"1,246,480,000",0.07,,,
BEN,Bendigo and Adelaide,Financials,"5,676,660,000",0.31,,,
BHP,BHP Billiton Limited,Materials,"111,960,000,000",6.15,,,
BKL,Blackmores Limited,Consumer Staples,"2,550,990,000",0.14,,,
BSL,Bluescope Steel Limited,Materials,"9,657,820,000",0.53,,,
BLD,Boral Limited,Materials,"7,796,010,000",0.43,,,
BXB,Brambles Limited,Industrials,"15,728,200,000",0.86,,,
BRG,Breville Group Limited,Consumer Discretionary,"1,397,220,000",0.08,,,
BKW,Brickworks Limited,Materials,"2,327,780,000",0.13,,,
BWP,BWP Trust Ordinary Units FP,Real Estate,"2,126,290,000",0.12,,,
CTX,Caltex Australia,Energy,"8,491,990,000",0.47,,,
CAR,Carsales.com Limited,Information Technology,"3,387,170,000",0.19,,,
CGF,Challenger Limited,Financials,"7,599,050,000",0.42,,,
CHC,Charter Hall Group Stapled Securities US Prohibited,Real Estate,"3,116,050,000",0.17,,,
